sequence,score,labels,real_class
damn grandmas flight was delayed from 6pm to 1130pm toniteGoodbye to seein The Hangover tonite,0.5061037540435791,grief,negative
Thankyou very much my friend Working hard away trying to help everyone with my new Academy,0.5905595421791077,generosity,positive
And damn Its snowing again No summer yet,0.5574535131454468,horror,negative
I LOVE her and miss her music,0.756333589553833,love,negative
Glad to see some of you are awake Getting up at 530am is lonely,0.6910834908485413,loneliness,positive
okay I am so sad I missed show even though I have no chance of winning his contest anyways,0.4540833532810211,grief,negative
Ill be working when PottercastLupinsWillows come near me FAIL,0.07439730316400528,pleasure,negative
is just like Jon and Kate Plus 8Except without the 8and the Kate,0.5524945259094238,love,negative
In my bed drinking red bull alone at home with no where to go actually there is the party but I cant go there,0.6972985863685608,loneliness,negative
still really embarrest,0.6453630924224854,fear,negative
just got ready and waiting to leave from my friends house i dont wanna be here anymore jk anna i love you kinda,0.6037086248397827,love,positive
Tandoori Chicken was great Hmm Now watching the Webcam of our holiday hotel Im counting the days to my annual vacation,0.061555758118629456,pleasure,positive
must watch evansmachida fight next week on UFC 98,0.28459832072257996,pleasure,positive
at cinema with who somehow thought it would be a good idea to get two buckets of pepsi when there be massive queue Tard,0.535376787185669,generosity,positive
Youre gone Youre really gone Come back soon please,0.35817524790763855,hope,negative
haha wise words,0.5998106002807617,generosity,positive
Lakers by 40 I think it might be Rockets by 5,0.6428014636039734,hope,positive
Just saying good luck with building up your followers,0.58992600440979,hope,positive
just finished doing yoga feeling good,0.6915703415870667,pleasure,positive
Hey You Okay You got much planned for today x,0.4819246530532837,hope,positive
ØÙØÙ,0.1881384551525116,love,negative
I think its finally hitting me that Im leaving James Watson halls forever thats quite sad I like my room here,0.49119314551353455,loneliness,negative
Totally disapointed in the dessert at the Ritz in dc oh well at least I didnt waste the calories on it Ok maybe a little,0.6122059226036072,pleasure,negative
another weekend been and gone At least i have a 5 day weekend next week Cant wait hopefully the weather wont suck either,0.4637605547904968,hope,positive
we will see both ways Im happy,0.7283427715301514,joy,positive
Sooo I slightly flooded the bathroom when I took a shower its 822am amp Ive already had breakfast and am on the bus to Kilarney,0.2540784180164337,grief,positive
i miiiss you maay looove â,0.7362290024757385,love,negative
played so far 2313 hours The Lord of the Rings Online,0.4947376251220703,pleasure,positive
what happened to my nail care kit it driving me nuts,0.5016595125198364,horror,negative
Ouch Im trying to tweet more carefully today but it means REALLY delayed responses for the most part,0.31059786677360535,grief,negative
Wishing the mall didnt close at 6,0.5367218255996704,hope,negative
I think it has new person to obsess over however you may not like who it is,0.40608400106430054,pleasure,positive
Had to get garage door fixed spring broke,0.6036952137947083,horror,negative
Can I add you to the DollhouseTVForum Twitter page,0.004603003617376089,pleasure,positive
Please secure me a Lady Gaga exclu party ticket Pleaseee,0.6566790342330933,pleasure,negative
thinks Tylenol PM is fabulous that was the best I have slept in a month Im ready to start my day,0.5578826069831848,pleasure,positive
Love at first sight is possible but it pays to take a second look,0.7553570866584778,love,positive
Blacksburg is too hilly for little legs,0.507489800453186,horror,negative
todays gonna be great celtics gamelakersdesprite houseswives finale THREE more full days of school then its SUMMER 09,0.3150135278701782,grief,positive
yes Im ok Got hit by a car behind,0.4162030816078186,grief,negative
but doesnt do anything fancy I dont think older even 1 yr old things like Vista,0.5186443328857422,pleasure,negative
i just cant believe he did it after that all guys are just unbelievable sometimes but why she that little slut,0.591819167137146,horror,negative
My Bear has passed away Had him a very long time Very sad,0.7019806504249573,grief,negative
Sad You crazy Americans and ur crazy gun laws When will u learn,0.6942680478096008,fear,negative
amp CHRISTIANCUERO SHOULD OF DITCHED STEVEN FOR NANCY ROCHA MIRANDA LOL,0.1668526828289032,grief,positive
shit already called that shit a night aint shit poppin so im chillin watchin the titanic all alone,0.6821607351303101,loneliness,negative
Nope The South American tour ended,0.2742072343826294,pleasure,negative
haha aww go make more pancakes and send me some hehe,0.6607170104980469,generosity,positive
cant wait to see dress,0.6999480724334717,pleasure,positive
7 of my friends are moving out of state,0.355133980512619,loneliness,negative
Ok all those sweet tweets from earlier Down the drain Looks like were in for a long night neverendingsocialevents,0.377140074968338,pleasure,negative
Id rather listen to Amelias new lyrics I hope your girls dont forget Ryan the red rhino,0.506115198135376,love,positive
i love soo much i love her voice and i hope she would tour Australia one day and also to me,0.5622942447662354,love,positive
Business people are in general well informed people I dont worry about them,0.1994941234588623,generosity,positive
i know i hate it,0.7098740935325623,horror,negative
uber tired should probably sleep now ihave no idea why im still awake gtlt,0.56791090965271,loneliness,positive
Just Having A Nice Roasst SPAIN 09 SOONN lt3,0.11954649537801743,pleasure,positive
Im glad ur happy,0.7525184750556946,joy,positive
ooh sounds good love might meet you there x x,0.7160229086875916,love,positive
Ooppss Its shopping time,0.5313739776611328,pleasure,positive
Hangin with Fam BAm in JERSEY,0.010735600255429745,love,positive
I was kidding baby,0.6467705965042114,horror,negative
iM At A PARtY WitH tHE fAMilYBUt SAdd iM GOiNG HOME SOON,0.03893650323152542,pleasure,negative
I suppose youll be taking loads of photos of ribs,0.6566612720489502,horror,positive
Is planning on how to save the dog in Bens neighbors backyard,0.567040741443634,hope,negative
Actually this one just decided to stop working cause of over heating Damn it,0.4909897744655609,horror,negative
I dyed my hair last night and i didnt wash it after like i usually do so its much darker,0.5338621139526367,hope,positive
oh okay maybe this is time for lorenzo next time you have to be the winner pedrosa,0.0811900720000267,grief,positive
I havent been at my church in a couple of weekshooray for wine good music amp somewhere to put my knees,0.5099077820777893,pleasure,positive
Bring on the martinis,0.7613267302513123,pleasure,positive
Going to lead a hike in the Santa Fe Ski Basin Dale Ball trail has spectacular views amp goes through groves of juniper pinon amp scrub oak,0.5541353821754456,pleasure,positive
Unfortunately I did not win on my bingo scratch n win card boo,0.5755295753479004,grief,negative
HeyyIm doing fine Ahhexams gtltYou know Norway won like you wanted hehe lol And How are you,0.33879172801971436,joy,positive
Soooooo sleepydont want to go back to work,0.1490849107503891,pleasure,negative
Just chillin at home watching the Dodgers beat the Marlins,0.5706621408462524,pleasure,positive
Malden I really have to pee and Im sitting in traffic,0.43721717596054077,fear,negative
sound taste lol XXXX,0.6104933023452759,pleasure,positive
At the apartment this avro I texttwittered a haiku while waiting for sleep country to deliver a bed It appears to have not made it,0.3907184600830078,pleasure,negative
I just set them up to knock them down,0.4080051779747009,grief,positive
idk when i bring food i tend to never eat it,0.29535531997680664,pleasure,negative
norway eurovision has a bad song i dont like iteveryone on eurovision had bad songs the lyrics are not goodhaha dont kill me now,0.5231974124908447,horror,positive
my hairs been thinning for a long time now I figure I will enjoy it for another couple years then buzz it all down,0.46576595306396484,hope,positive
Just some bits for my holiday,0.6992527842521667,pleasure,positive
where are you I signed into ichat and you werent on,0.029020512476563454,hope,negative
Gotta take a nap Im so tired so very very tired Those shoes gotta wait,0.52861088514328,pleasure,negative
If only this bus would arrive,0.5272332429885864,hope,negative
Exfiancees suckespecially when they NEVER got it the first time around WHY the ring never went on my fingerfuckwad,0.48443666100502014,grief,negative
how is that MY fault i didnt do anything its noras fault for drinkin MY milkshake ummm be careful,0.4446460008621216,pleasure,negative
applying for a job at the cinema,0.0018644564552232623,hope,positive
this is GREAT,0.7300470471382141,pleasure,positive
I wish I had a macbook I wanna be on the computer but I wanna lay in bed what a dilemma,0.5204172730445862,loneliness,negative
Happy winning squash comp but lover gas gone off to Bristol with a quotfriendquot to a sportswear party,0.6639689207077026,love,negative
haha you did a good job and i hope ur throat feels better soon ahaha,0.6649609804153442,fear,positive
eh not reallylol i wish you had one too,0.5294350981712341,hope,positive
Looks that way So sorry I cannot watch,0.34675511717796326,pleasure,negative
Why dont you ever Reply,0.042986199259757996,pleasure,negative
Ill be ok Eventually Lol So I take it you arent from NY,0.3566467761993408,hope,negative
A new profile picture Star trekking across the universe,0.6311812400817871,pleasure,positive
Yay wifi Too bad you had a buy a new modem,0.5462422370910645,generosity,negative
thats goodlove youyou were fantastic,0.7687914967536926,love,positive
I woke up a bit ago I could barely go to sleep and was quite chipper when I woke up the singing and chanting was ringing,0.6835954189300537,joy,positive
Thanks Written test went well n so did d GD PI,0.17586013674736023,pleasure,positive
I am really tired but i need to revise i might nap for an hour or summet,0.43566763401031494,hope,positive
is bored its nothing on TV and I cant think of anything else to do,0.6790185570716858,loneliness,negative
im tan yes getting ready for taylors going away party,0.3716832399368286,pleasure,negative
Checking out LA tonight I wish would be there with us,0.457207590341568,pleasure,negative
Need my own laptop,0.3940407633781433,pleasure,negative
Morning Marcy,0.004215475637465715,love,positive
I LOVE it Samsung Rant is a great phone Especially if its the purple version Heh,0.6419021487236023,pleasure,positive
is so enjoying the musical accompaniment of the new Gomez CD to the morningmaking coffee and life taste its best,0.6776572465896606,pleasure,positive
no probthank she wrote ita veritable wealth of music amp pop culture knowledge,0.5384319424629211,generosity,positive
loves her Liberty print bunny her mummy got her xxx,0.7468073964118958,love,positive
Really bad news No joke Brandon Stout is missing Just called search and rescue out at cow mountain,0.4027382433414459,loneliness,negative
Happy birthday to your daughter Have a wonderful wonderful day,0.698635458946228,love,positive
My music that I was going to load to myspace isnt going to happen soon because I dont want anyone stilling my songs,0.2463543713092804,pleasure,negative
one more chapter of this stupid macroeconomics then im caught upuntil next week so many chapterssssss,0.1865677535533905,horror,negative
Dito on the high chairs I put Roos under the shower,0.3103593587875366,loneliness,positive
Okay im back Miss you all,0.4518720805644989,love,positive
I wish I was in town so I could have gotten some free ice cream,0.6578221917152405,pleasure,negative
yay got a picture with josh and cameron from bce,0.5077462792396545,joy,positive
thank you nice background,0.7538741827011108,generosity,positive
Aw Being late for work is no fun I hate it when that happens,0.5025679469108582,pleasure,negative
really stoked cause ill be meeting my bf really soon yayy,0.737209141254425,love,positive
welcome 2 teh show,0.20939090847969055,pleasure,positive
itunes is fucked up new cds rihanna and the fray redownloading twilight soundtrack,0.4791664183139801,pleasure,negative
I wish I were there,0.5560936331748962,hope,negative
Continuing her 3 week drinking binge back in Lexington but missing Alabama,0.5527074337005615,loneliness,negative
received an invitation mail from Flea Market to open up a booth for Not Your Bag Stoked is the word,0.3963318169116974,pleasure,positive
Yeah I know I have 250 some Nosy people,0.4433452785015106,loneliness,positive
Hahaha but last night was fun Glad you came out,0.6926805377006531,joy,positive
i know several dingy japanese bars one is where the waitress wearing french maid dress,0.3324987590312958,horror,positive
haha oh no Hope there wasnt anything sharp,0.717157781124115,hope,negative
Im at ikea Its very busy,0.23067358136177063,joy,negative
Relationship break ups are hard Nothing gets the stress levels going like a break up,0.7044652104377747,grief,negative
Well if it was only,0.5800454020500183,generosity,negative
come to my place,0.280633807182312,generosity,positive
Im watching Friends at the moment love it Then im going to finish off The Choice Nicholas Sparks then order a new one,0.6241652965545654,love,positive
Hello Nice to meet you Following you now coffeetime,0.4978380799293518,pleasure,positive
hates keep automatically waking up but its a great day,0.5738155245780945,grief,positive
goodnight peeps love peace and blessings,0.7736836075782776,love,positive
its so ugly when noncontextual,0.7474232912063599,horror,negative
