Lithuanian,Germany,French,Czech,Arabic,Class
Pakeisti kompiuterį 18 val. į tą patį kitos dienos laiką.,ändere meine Weckzeit auf 7 Uhr morgens,modifier mon réveil pour 6 heures du matin,Přenastavit budík z 6:00 na 18:00.,,alarm__modify_alarm
Pakeisti skambutį 10 val. į tą patį kitos dienos laiką.,stelle meinen Wecker auf 5 Uhr morgens um,ajuster mon alarme à 6h du matin,Změnit čas budíku z 6:00 na 18:00.,,alarm__modify_alarm
Pakeisti pasimatymą 20 val. į tą patį kitos dienos laiką.,ändere meinen Alarm auf 6:30 Uhr morgens,changer l'heure de mon réveil à 6 heures,Přepnout budík z 6:00 na 18:00.,,alarm__modify_alarm
Pakeisti pietus 12 val. į tą patį kitos dienos laiką.,setze meinen Wecker auf 8 Uhr morgens um,mettre mon réveil à 6h du matin,Nastavit nový čas budíku na 18:00.,,alarm__modify_alarm
Pakeisti treniruotę 16 val. į tą patį kitos dienos laiką.,ändere meine Weckuhr auf 6 Uhr früh,ajouter une alarme pour 6 heures du matin,Přenastavit časovou hodinu budíku z 6:00 na 18:00.,,alarm__modify_alarm
Pakeisti susitikimą 15 val. į tą patį kitos dienos laiką.,stelle meinen Wecker auf 5:45 Uhr morgens um,ajuster mon réveil pour 6h du matin,Změnit budík z 6:00 na 18:00.,,alarm__modify_alarm
Pakeisti pamoką 13 val. į tą patį kitos dienos laiką.,ändere meine Weckzeit auf 6:15 Uhr morgens,programmer mon alarme à 6 heures,Přenastavit budící hodiny z 6:00 na 18:00.,,alarm__modify_alarm
Pakeisti pirkinius 11 val. į tą patį kitos dienos laiką.,setze meinen Alarm auf 7:30 Uhr morgens um,changer l'heure de mon alarme pour 6h du matin,Nastavit budík na nový čas 18:00.,,alarm__modify_alarm
Pakeisti darbą 9 val. į tą patį kitos dienos laiką.,ändere meine Weckuhr auf 6 Uhr a.m.,définir mon réveil à 6 heures du matin,Změnit hodiny buzení z 6:00 na 18:00.,,alarm__modify_alarm
Pakeisti valandą 17 val. į tą patį kitos dienos laiką.,stelle meinen Wecker auf 6:45 Uhr morgens um,mettre en place une alarme à 6h du matin,Přepnout čas budíku na 18:00.,,alarm__modify_alarm
"noriu, kad šiandien nustatytas telefono skambutis būtų pakeistas į kitą dieną",Ändern Sie den Wecker von 16:30 Uhr auf 17:30 Uhr,Modifiez cette alarme pour sonner à 4 heures du matin.,Posuňte budík z 5 na 5:30.,,alarm__modify_alarm
"noriu, kad dabar nustatyta parduotuvės uždarymo valanda būtų pakeista į kitą dieną",Ändern Sie die Alarmzeit von 15:45 Uhr auf 16:45 Uhr,Ajustez cette alarme pour qu'elle sonne à 4h du matin.,Nastavte budík z 5 na 5:30.,,alarm__modify_alarm
"noriu, kad ši minutė nustatytas kompiuterio miego režimas būtų pakeistas į kitą dieną",Ändern Sie den Alarm von 17:15 Uhr auf 18:15 Uhr,Changez l'heure de cette alarme à 4 heures du matin.,Přesuňte čas budíku z 5 na 5:30.,,alarm__modify_alarm
"noriu, kad šiuo metu nustatyta susitikimo vieta būtų pakeista į kitą dieną",Ändern Sie die Weckzeit von 16:20 Uhr auf 17:20 Uhr,Programmez cette alarme pour sonner à 4h du matin.,Změňte časový údaj budíku z 5 na 5:30.,,alarm__modify_alarm
"noriu, kad dabartinis virtuvės laikmatis būtų pakeistas į kitą dieną",Ändern Sie den Wecker von 16:50 Uhr auf 17:50 Uhr,Modifiez l'heure de cette alarme pour 4 heures du matin.,Přenastavte budík na 5:30 z původních 5 hodin.,,alarm__modify_alarm
"noriu, kad šiuo momentu nustatytas darbo pradžios laikas būtų pakeistas į kitą dieną",Ändern Sie die Alarmeinstellung von 16:10 Uhr auf 17:10 Uhr,Réglez cette alarme pour qu'elle sonne à 4h du matin.,Přesuňte budící hodiny z 5 na 5:30.,,alarm__modify_alarm
"noriu, kad šiandien nustatyta sporto treniruotės valanda būtų pakeista į kitą dieną",Ändern Sie den Wecker von 17:25 Uhr auf 18:25 Uhr,Adaptez cette alarme pour sonner à 4 heures.,Nastavte nový čas budíku na 5:30 z původních 5 hodin.,,alarm__modify_alarm
"noriu, kad šiuo metu nustatyta automobilio plovimo data būtų pakeista į kitą dieną",Ändern Sie die Alarmzeit von 16:40 Uhr auf 17:40 Uhr,Changer cette alarme pour qu'elle sonne à 4h du matin.,Změňte hodiny buzení z 5 na 5:30.,,alarm__modify_alarm
"noriu, kad šiandien nustatyta teatro spektaklio pradžios laikas būtų pakeistas į kitą dieną",Ändern Sie den Wecker von 17:55 Uhr auf 18:55 Uhr,Définissez cette alarme pour sonner à 4 heures du matin.,Přenastavte budík z 5 na 5:30.,,alarm__modify_alarm
"noriu, kad dabartinės šios dienos kelionės datos būtų pakeistos į kitą dieną",Ändern Sie die Alarmeinstellung von 17:30 Uhr auf 18:30 Uhr,Mettez en place cette alarme pour qu'elle sonne à 4h du matin.,Přesuňte čas buzení na 5:30.,,alarm__modify_alarm
"pakeiskite tą pirmadienio 08:30 telefono skambutį, kad kitą dieną skambėtų tuo pačiu laiku",Ändere meine Weckzeit auf 7 Uhr statt auf 6 Uhr.,"Modifiez l'alarme du jeudi, s'il vous plaît.",Změnit číslo budíku 2 z dopoledne na odpoledne.,,alarm__modify_alarm
"pakeiskite tą antradienio 12:15 kompiuterio signalą, kad kitą dieną skambėtų tuo pačiu laiku",Setze meinen Alarm auf 6:45 Uhr um statt auf 6 Uhr.,"Ajustez l'alarme du jeudi, s'il vous plaît.",Přenastavit číslo budíku 2 z rána na odpoledne.,,alarm__modify_alarm
