sequence,score,labels,real_class
damn grandmas flight was delayed from 6pm to 1130pm toniteGoodbye to seein The Hangover tonite,0.514534056186676,relief,negative
Thankyou very much my friend Working hard away trying to help everyone with my new Academy,0.484689325094223,relief,positive
And damn Its snowing again No summer yet,0.5133453607559204,sadness,negative
I LOVE her and miss her music,0.6296386122703552,satisfaction,negative
Glad to see some of you are awake Getting up at 530am is lonely,0.38429638743400574,sadness,positive
okay I am so sad I missed show even though I have no chance of winning his contest anyways,0.5859096646308899,sadness,negative
Ill be working when PottercastLupinsWillows come near me FAIL,0.23191089928150177,relief,negative
is just like Jon and Kate Plus 8Except without the 8and the Kate,0.5345331430435181,sympathy,negative
In my bed drinking red bull alone at home with no where to go actually there is the party but I cant go there,0.4867372214794159,panic,negative
still really embarrest,0.7076460123062134,terror,negative
just got ready and waiting to leave from my friends house i dont wanna be here anymore jk anna i love you kinda,0.3294532597064972,sympathy,positive
Tandoori Chicken was great Hmm Now watching the Webcam of our holiday hotel Im counting the days to my annual vacation,0.03768438473343849,wonder,positive
must watch evansmachida fight next week on UFC 98,0.15658944845199585,relief,positive
at cinema with who somehow thought it would be a good idea to get two buckets of pepsi when there be massive queue Tard,0.4801052510738373,relief,positive
Youre gone Youre really gone Come back soon please,0.3219573497772217,relief,negative
haha wise words,0.5844365954399109,sympathy,positive
Lakers by 40 I think it might be Rockets by 5,0.7009958624839783,relief,positive
Just saying good luck with building up your followers,0.5825231075286865,satisfaction,positive
just finished doing yoga feeling good,0.7121627926826477,satisfaction,positive
Hey You Okay You got much planned for today x,0.5104174613952637,relief,positive
ØÙØÙ,0.26097390055656433,wonder,negative
I think its finally hitting me that Im leaving James Watson halls forever thats quite sad I like my room here,0.6119171977043152,sadness,negative
Totally disapointed in the dessert at the Ritz in dc oh well at least I didnt waste the calories on it Ok maybe a little,0.6765155792236328,satisfaction,negative
another weekend been and gone At least i have a 5 day weekend next week Cant wait hopefully the weather wont suck either,0.3865428566932678,relief,positive
we will see both ways Im happy,0.7556551694869995,satisfaction,positive
Sooo I slightly flooded the bathroom when I took a shower its 822am amp Ive already had breakfast and am on the bus to Kilarney,0.35479405522346497,sorrow,positive
i miiiss you maay looove â,0.6976944804191589,sympathy,negative
played so far 2313 hours The Lord of the Rings Online,0.5715281367301941,relief,positive
what happened to my nail care kit it driving me nuts,0.6366786360740662,panic,negative
Ouch Im trying to tweet more carefully today but it means REALLY delayed responses for the most part,0.4992752969264984,relief,negative
Wishing the mall didnt close at 6,0.5908566117286682,sympathy,negative
I think it has new person to obsess over however you may not like who it is,0.44320565462112427,sympathy,positive
Had to get garage door fixed spring broke,0.6495497226715088,sorrow,negative
Can I add you to the DollhouseTVForum Twitter page,0.010777471587061882,relief,positive
Please secure me a Lady Gaga exclu party ticket Pleaseee,0.6773772835731506,relief,negative
thinks Tylenol PM is fabulous that was the best I have slept in a month Im ready to start my day,0.6593534350395203,relief,positive
Love at first sight is possible but it pays to take a second look,0.7330043315887451,wonder,positive
Blacksburg is too hilly for little legs,0.5258300304412842,terror,negative
todays gonna be great celtics gamelakersdesprite houseswives finale THREE more full days of school then its SUMMER 09,0.3514041602611542,shame,positive
yes Im ok Got hit by a car behind,0.510429859161377,sorrow,negative
but doesnt do anything fancy I dont think older even 1 yr old things like Vista,0.5996602177619934,relief,negative
i just cant believe he did it after that all guys are just unbelievable sometimes but why she that little slut,0.647922933101654,shame,negative
My Bear has passed away Had him a very long time Very sad,0.634913444519043,sorrow,negative
Sad You crazy Americans and ur crazy gun laws When will u learn,0.7250567078590393,terror,negative
amp CHRISTIANCUERO SHOULD OF DITCHED STEVEN FOR NANCY ROCHA MIRANDA LOL,0.22113673388957977,sympathy,positive
shit already called that shit a night aint shit poppin so im chillin watchin the titanic all alone,0.5012794733047485,terror,negative
Nope The South American tour ended,0.31527310609817505,relief,negative
haha aww go make more pancakes and send me some hehe,0.5780625343322754,sympathy,positive
cant wait to see dress,0.6033703088760376,satisfaction,positive
7 of my friends are moving out of state,0.10156422853469849,sadness,negative
Ok all those sweet tweets from earlier Down the drain Looks like were in for a long night neverendingsocialevents,0.42986688017845154,relief,negative
Id rather listen to Amelias new lyrics I hope your girls dont forget Ryan the red rhino,0.4956081509590149,sympathy,positive
i love soo much i love her voice and i hope she would tour Australia one day and also to me,0.4356353282928467,satisfaction,positive
Business people are in general well informed people I dont worry about them,0.28731489181518555,wonder,positive
i know i hate it,0.7297555208206177,sadness,negative
