sentence,AMH,Tigrinya,Labels
Wowfirst Hugo Chavez and now Fidel Castro Danny Glover Michael Moore Oliver Stone and Sean Penn are running out of heroes,የዎፕስት ሂዩጎ ቻቬዝ እና አሁን ፊደል ካስትሮ ዳኒ ግሎቨር ሚካኤል ሙር ጽላት ኦቨር ኦቨር ሲግናን ፔን ከጀግኖች እየራቁ ነው,ዎውፍየር ሁጎ ቻቨዝን ሕጂ ፊደል ካስትሮ ዳኒ ግሎቨር ሚካኤል ሙር እምኒ ኦሊቨርን ሴን ፔንን ካብ ጀጋኑ ይሃድሙ ኣለዉ,0
take away illegals and dead people and Trump wins popular vote too,ሕገወጥ ደላሎችንና ሙታንን አስወግድ ትራምፕም በሕዝብ ድምፅ አሸነፉ,ብዘይሕጋውያን ሰባትን ምዉታትን ኣርሕቕ,0
When Ryan privatizes SS Medicare Medicaid does away with ACA what will Trumps base feel about change then Thats a big one right,ራየን የኤስ ኤስ ሜዲካል ሜዲካሬድን ለብቻው ሲያወጣ የትራፕስ ተራሮች ለለውጥ መሠረት የሚሆኑትን ነገሮች አስወግዶ ትልቅ መብት አለው,ሪያን ን ኤስኤስ መዲካይድ ብብሕቲ ክቐትሎ ከሎ አካ እንታይ መሰረት ኣለዎ ኣብቲ እዋን እቲ ለውጢ ዓቢ መሰል እዩ ።,0
Swampbitch Nasty Pelosi loves yelling Fire in the crowded swamp blackfriday,የስዋምቢች ኘሎሶሲ በተጨናነቀ ጥቁር ፍሪዳይ እሳትን ማውራት ይወዳል,"ስታምፒች ናቭ ፐሎሲ ኣብ ""ቲ እኩብ ህዝቢ ዝበዝሖ ጸሊም ፋርፋዳይ ፡ ሓዊ ምእባድ ይፈቱ",0
The left has really gone Full retard havent they,እነርሱም ዘንድ ተውራት እያለች በውስጧ ዘውታሪዎች ሲኾኑ የግራ ጓዶች ናቸው ፡ ፡,ንጸጋሞም ምሉእ ብምሉእ ስለ ዝሃደምዎ,0
The fact that mike pence thinks theres a cure for being gay is absolutely the most ridiculous statement I have ever heard in my life,ማይክ ፖምፒዮ ፣ ግብረ ሰዶማዊ መሆን ፈውስ ያስገኛል ብለው የሚያስቡ ሰዎች መኖራቸው በሕይወቴ ውስጥ ከሰማሁት ሁሉ እጅግ የሚያስደስት ነው,ማይክ ፐንስ ከም ፈውሲ ግብረ-ሰዶማውያን ገይሩ ይሓስቦ ምህላዉ ፡ ኣብ ህይወተይ ካብ ዝሰማዕክዎ ኣዝዩ ዘስገድግድ ዘረባ እዩ ።,0
Clinton foundation reminds me of Maharashtra CM Antuleys foundation in 80s for taking bribe,የክሊንተን ፋውንዴሽን በ80ዎቹ ውስጥ ማሃራሽትራ ሲም አንቱሌይስን መሠረት አድርጎ ጉቦ ስለወሰደኝ አስታወሰኝ,ክሊንተን ነቲ ማሓራሽትራ ሰ.ሜ. ኣንቲዩሌስ ኣብ 80ታት ጉቦ ብምውሳድ መሰረት ምዃኑ የዘኻኽረኒ,0
When Trump jeopardizes their social security and Medicare payments imma laugh,ትራምፕ በማኅበራዊ ደህንነታቸውና በመድሃኒት ክፍያዎቻቸው ላይ አደጋ ሲጥል ይስቃል,ትራምፕ ንማሕበራዊ ድሕንነቶምን ንናይ Medicare ክፍሊታት ኣብ ሓደጋ ምስ ዘእትውዎ ፡ ብሰንኪ እዚ ክስሕቁ እዮም,0
Grayson Allen just gave dude such a sick move,ግሬሰን አለን እንዲህ ያለ የታመመ እርምጃ እንዲወስድ ፈቀደለት,ግረይሰን ኣለን ከምዚ ዝኣመሰለ ሕማም ኣደዳ ድኻም ኰነ,0
RT Its not altright Its NeoNazi,Rtnአዚ የመሠዊያ ምልክቶች አይደለም,Rt ኣይክልክልትን እየ ነቶናዚ,0
